-52.38 -27.27    0.1     27    1.2    0.6    0.9    1.1    2.6    8.1    4.6    5.2   10.4   10.8   14.1    7.7     32   3.26      0      0      0      0      0  15.41      0  27.39  13.15      0      0     32   3.18      0      0      0      0      0      0      0   2.26  24.96   17.9   9.61      0   7.42   7.42   7.42   7.42
-51.78 -27.52    1.1   25.9      1    0.7    0.7    1.8    3.4    6.9    3.8    3.9    7.6    7.5   12.4    5.6     37   0.74      0      0      0      0   0.26  12.05      0     37  13.91      0      0  33.19  12.35      0      0      0      0      0      0      0    2.8  20.26  17.65  11.32      0   3.41   3.41   3.41   3.41
-52.73 -27.35    0.3     29    0.2      0    1.2    2.3    4.4    5.9    1.7    1.7    6.3    3.9   10.3    2.9     32      0      0      0      0      0   1.49  16.38      0   15.8   9.43      0      0   27.5   4.66      0      0      0      0      0      0      0   13.1  10.32   5.14   3.26      0   6.23   6.23   6.23   6.23
-52.54 -26.66      0   25.3    0.6      1    0.7    0.4    0.7    4.8    2.3    3.6    9.3   10.3   10.1    8.1     37   9.74      0      0      0      0      0   10.2      0  10.05  32.14      0      0   8.71   0.43      0      0      0      0      0      0      0   1.88  27.59   6.57   2.24      0  14.17  14.17  14.17  14.17
-55.05 -28.14    0.6     32      0      0    1.2    1.5    4.6    1.2    0.3    0.4    1.2    1.1    2.3      1     32      0      0      0      0      0  10.67   5.75      0      0      0      0      0     32   1.29      0      0      0      0      0      0      0  30.05   0.35   0.41      0      0   3.53   3.53   3.53   3.53
-51.87 -18.68      0      0    3.4    5.2    0.6      0      0      0    0.2    0.8    1.3    1.5    0.4    0.8      0   9.23      0      0      0      0      0      0      0      0      0      0      0      0      0   1.81      0      0      0   1.73      0      0      0   0.39   1.36   5.29    6.7  10.55  10.55  10.55  10.55
-50.76 -19.16      0      0    2.3    8.3      0      0      0      0    0.2    0.7    1.1    1.3    0.4    0.8   0.97   3.04   0.33      0      0      0      0      0      0      0      0      0      0      0      0   1.11      0      0      0   0.68      0   0.28      0   0.31    2.6   8.64   4.97   8.08   8.08   8.08   8.08
-50.64 -19.12      0      0    0.6    0.8      0      0      0      0    0.1    0.3    0.7    0.8    0.3    0.7   0.55   4.29   0.39      0      0      0      0      0      0      0      0      0      0      0      0    0.5      0      0      0   0.32      0      0      0      0   0.66   5.55   5.99  15.54  15.54  15.54  15.54
-51.35  -20.4      0    0.3    5.9    5.5    0.1      0      0      0    0.6    1.4    2.2    2.5    0.8    1.1   3.88  14.17   0.22      0      0      0      0      0   0.38      0      0      0      0      0   4.19   5.57      0      0      0      0      0      0      0    0.7   6.34   5.57  10.31   4.15   4.15   4.15   4.15
-51.63 -20.86      0    0.9    9.4     14      0      0      0      0    0.6    2.6    2.4    2.9    1.1      1   2.38  22.46   0.27      0      0      0      0      0   0.38      0      0      0      0      0   8.41   5.07      0      0      0      0      0      0      0   1.82   1.74   16.4  10.46   4.12   4.12   4.12   4.12
